Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2674,2674,2674,2674,2674,1338
3293,3293,3293,3293,3293,1776
3516,3516,3516,3516,3516,7844
507,507,507,507,507,1788
1777,1777,1777,1777,1777,5185
1795,1795,1795,1795,1795,1451
3140,3140,3140,3140,3140,545
3321,3321,3321,3321,3321,2566
1716,1716,1716,1716,1716,750
7425,7425,7425,7425,7425,2098
5977,5977,5977,5977,5977,1744
549,549,549,549,549,497
3881,3881,3881,3881,3881,2931
6707,6707,6707,6707,6707,602
5058,5058,5058,5058,5058,2168
964,964,964,964,964,412
4508,4508,4508,4508,4508,1080
370,370,370,370,370,4478
2767,2767,2767,2767,2767,3181
2518,2518,2518,2518,2518,501
2518,2518,2518,2518,2518,501
2259,2259,2259,2259,2259,2124
375,375,375,375,375,569
2381,2381,2381,2381,2381,4334
4337,4337,4337,4337,4337,16523
4482,4482,4482,4482,4482,5778
4003,4003,4003,4003,4003,57
242,242,242,242,242,833
100,100,100,100,100,518
8604,8604,8604,8604,8604,5206
1107,1107,1107,1107,1107,823
2134,2134,2134,2134,2134,2963
820,820,820,820,820,985
918,918,918,918,918,405
361,361,361,361,361,1083
483,483,483,483,483,395
4239,4239,4239,4239,4239,436
862,862,862,862,862,4626
6506,6506,6506,6506,6506,714
6956,6956,6956,6956,6956,433
212,212,212,212,212,2916
212,212,212,212,212,2916
1145,1145,1145,1145,1145,5864
2575,2575,2575,2575,2575,2802
6899,6899,6899,6899,6899,46
9529,9529,9529,9529,9529,72
4618,4618,4618,4618,4618,65
7353,7353,7353,7353,7353,4985
6792,6792,6792,6792,6792,1452
24171,24171,24171,24171,24171,6465
5121,5121,5121,5121,5121,1476
13583,13583,13583,13583,13583,1163
609,609,609,609,609,2162
1538,1538,1538,1538,1538,301
2587,2587,2587,2587,2587,1278
5611,5611,5611,5611,5611,224
204,204,204,204,204,1333
2024,2024,2024,2024,2024,1130
17740,17740,17740,17740,17740,1340
7572,7572,7572,7572,7572,1282
227,227,227,227,227,436
3084,3084,3084,3084,3084,1603
3084,3084,3084,3084,3084,1603
4095,4095,4095,4095,4095,225
26701,26701,26701,26701,26701,2017
4074,4074,4074,4074,4074,964
7677,7677,7677,7677,7677,1295
1247,1247,1247,1247,1247,1145
24231,24231,24231,24231,24231,1423
3468,3468,3468,3468,3468,27
5141,5141,5141,5141,5141,834
788,788,788,788,788,3095
656,656,656,656,656,144
116,116,116,116,116,1365
4173,4173,4173,4173,4173,14472
1321,1321,1321,1321,1321,181
764,764,764,764,764,648
1901,1901,1901,1901,1901,1780
3,3,3,3,3,975
529,529,529,529,529,894
12034,12034,12034,12034,12034,1009
301,301,301,301,301,167
1202,1202,1202,1202,1202,1653
1202,1202,1202,1202,1202,1653
610,610,610,610,610,529
7818,7818,7818,7818,7818,156
3537,3537,3537,3537,3537,2342
550,550,550,550,550,772
3837,3837,3837,3837,3837,120
40827,40827,40827,40827,40827,2944
20070,20070,20070,20070,20070,903
1579,1579,1579,1579,1579,14351
165,165,165,165,165,46
454,454,454,454,454,3178
69,69,69,69,69,360
627,627,627,627,627,1117
18906,18906,18906,18906,18906,5130
71,71,71,71,71,2698
5038,5038,5038,5038,5038,244
223,223,223,223,223,709
3874,3874,3874,3874,3874,217
54,54,54,54,54,63
56,56,56,56,56,132
215,215,215,215,215,323
215,215,215,215,215,323
8035,8035,8035,8035,8035,3029
6766,6766,6766,6766,6766,1838
4573,4573,4573,4573,4573,1386
1480,1480,1480,1480,1480,2498
1491,1491,1491,1491,1491,548
139,139,139,139,139,1378
6830,6830,6830,6830,6830,1831
8969,8969,8969,8969,8969,1438
2505,2505,2505,2505,2505,1236
836,836,836,836,836,3
169,169,169,169,169,1647
6457,6457,6457,6457,6457,1519
483,483,483,483,483,2708
585,585,585,585,585,1561
118,118,118,118,118,1266
276,276,276,276,276,610
310,310,310,310,310,222
319,319,319,319,319,1160
411,411,411,411,411,933
266,266,266,266,266,635
266,266,266,266,266,635
174,174,174,174,174,1136
264,264,264,264,264,255
25,25,25,25,25,860
1976,1976,1976,1976,1976,143
500,500,500,500,500,1621
778,778,778,778,778,918
349,349,349,349,349,483
2386,2386,2386,2386,2386,2749
1062,1062,1062,1062,1062,3
410,410,410,410,410,1819
395,395,395,395,395,911
70,70,70,70,70,310
955,955,955,955,955,328
256,256,256,256,256,396
47,47,47,47,47,537
199,199,199,199,199,326
2447,2447,2447,2447,2447,1542
721,721,721,721,721,36
249,249,249,249,249,3271
637,637,637,637,637,929
637,637,637,637,637,929
960,960,960,960,960,2616
51,51,51,51,51,1450
20,20,20,20,20,3
399,399,399,399,399,318
516,516,516,516,516,201
12591,12591,12591,12591,12591,4430
73,73,73,73,73,520
1082,1082,1082,1082,1082,526
283,283,283,283,283,434
113,113,113,113,113,1440
170,170,170,170,170,1067
255,255,255,255,255,1774
352,352,352,352,352,184
302,302,302,302,302,1627
7,7,7,7,7,8
11577,11577,11577,11577,11577,2153
6694,6694,6694,6694,6694,3182
811,811,811,811,811,418
4004,4004,4004,4004,4004,1682
