#,epoch,mb,bh,bl,nh
1,49,49,49,49,49
2,48,48,48,48,48
3,50,50,50,50,50
4,44,44,44,44,44
5,54,54,54,54,54
6,56,56,56,56,56
7,48,48,48,48,48
8,48,48,48,48,48
9,51,51,51,51,51
10,51,51,51,51,51
11,50,50,50,50,50
12,53,53,53,53,53
13,51,51,51,51,51
14,50,50,50,50,50
15,51,51,51,51,51
16,54,54,54,54,54
17,50,50,50,50,50
18,53,53,53,53,53
19,50,50,50,50,50
20,49,49,49,49,49
20,49,49,49,49,49
21,51,51,51,51,51
22,47,47,47,47,47
23,53,53,53,53,53
24,50,50,50,50,50
25,49,49,49,49,49
26,55,55,55,55,55
27,53,53,53,53,53
28,48,48,48,48,48
29,54,54,54,54,54
30,46,46,46,46,46
31,48,48,48,48,48
32,48,48,48,48,48
33,45,45,45,45,45
34,51,51,51,51,51
35,45,45,45,45,45
36,52,52,52,52,52
37,54,54,54,54,54
38,48,48,48,48,48
39,50,50,50,50,50
40,46,46,46,46,46
40,46,46,46,46,46
41,53,53,53,53,53
42,51,51,51,51,51
43,56,56,56,56,56
44,49,49,49,49,49
45,53,53,53,53,53
46,45,45,45,45,45
47,53,53,53,53,53
48,51,51,51,51,51
49,47,47,47,47,47
50,54,54,54,54,54
51,49,49,49,49,49
52,48,48,48,48,48
53,52,52,52,52,52
54,50,50,50,50,50
55,49,49,49,49,49
56,53,53,53,53,53
57,50,50,50,50,50
58,52,52,52,52,52
59,54,54,54,54,54
60,51,51,51,51,51
60,51,51,51,51,51
61,52,52,52,52,52
62,47,47,47,47,47
63,48,48,48,48,48
64,50,50,50,50,50
65,45,45,45,45,45
66,50,50,50,50,50
67,47,47,47,47,47
68,55,55,55,55,55
69,46,46,46,46,46
70,56,56,56,56,56
71,53,53,53,53,53
72,50,50,50,50,50
73,50,50,50,50,50
74,49,49,49,49,49
75,47,47,47,47,47
76,55,55,55,55,55
77,50,50,50,50,50
78,60,60,60,60,60
79,51,51,51,51,51
80,53,53,53,53,53
80,53,53,53,53,53
81,52,52,52,52,52
82,50,50,50,50,50
83,51,51,51,51,51
84,45,45,45,45,45
85,49,49,49,49,49
86,52,52,52,52,52
87,54,54,54,54,54
88,49,49,49,49,49
89,55,55,55,55,55
90,46,46,46,46,46
91,54,54,54,54,54
92,53,53,53,53,53
93,49,49,49,49,49
94,51,51,51,51,51
95,46,46,46,46,46
96,50,50,50,50,50
97,60,60,60,60,60
98,48,48,48,48,48
99,51,51,51,51,51
100,52,52,52,52,52
100,52,52,52,52,52
101,53,53,53,53,53
102,54,54,54,54,54
103,50,50,50,50,50
104,52,52,52,52,52
105,55,55,55,55,55
106,52,52,52,52,52
107,55,55,55,55,55
108,47,47,47,47,47
109,54,54,54,54,54
110,48,48,48,48,48
111,53,53,53,53,53
112,50,50,50,50,50
113,53,53,53,53,53
114,53,53,53,53,53
115,51,51,51,51,51
116,54,54,54,54,54
117,53,53,53,53,53
118,55,55,55,55,55
119,52,52,52,52,52
120,51,51,51,51,51
120,51,51,51,51,51
121,50,50,50,50,50
122,49,49,49,49,49
123,57,57,57,57,57
124,52,52,52,52,52
125,47,47,47,47,47
126,52,52,52,52,52
127,58,58,58,58,58
128,45,45,45,45,45
129,55,55,55,55,55
130,54,54,54,54,54
131,51,51,51,51,51
132,54,54,54,54,54
133,56,56,56,56,56
134,53,53,53,53,53
135,52,52,52,52,52
136,47,47,47,47,47
137,51,51,51,51,51
138,54,54,54,54,54
139,50,50,50,50,50
140,47,47,47,47,47
140,47,47,47,47,47
141,46,46,46,46,46
142,44,44,44,44,44
143,54,54,54,54,54
144,55,55,55,55,55
145,52,52,52,52,52
146,57,57,57,57,57
147,52,52,52,52,52
148,48,48,48,48,48
149,48,48,48,48,48
150,51,51,51,51,51
